Modelling Realm - Primary,Branded Variable Name,Variable name,CMIP7 Compound Name,Description,Units (from Physical Parameter),Dimensions,NorESM3 name (dependency),CMIP7 Freq.,notes,,
land,landCoverFrac_tavg-u-hxy-u,landCoverFrac,land.landCoverFrac.tavg-u-hxy-u.yr.glb,Fractional Land Cover of PFT,,longitude latitude pft time,FATES_NOCOMP_PATCHAREA_PF* FATES_FRAC,yr,,,
land,,lowcoverTotal,land.lowVegCoverFrac.tavg-u-hxy-u.yr.glb,Low Vegetation Cover,%,latitude longitude time,,yr,,,
land,rln_tavg-u-hxy-lnd,lwnet,land.rln.tavg-u-hxy-lnd.mon.glb,Net longwave radiation,W m-2,longitude latitude time,FIRA,mon,,,
land,methanol_tavg-u-hxy-lnd,methanol,land.methanol.tavg-u-hxy-lnd.mon.glb,Emission flux of methanol,kg m-2 s-1,longitude latitude time,MEG_methanol,mon,,,
land,,methanolpft,land.methanolVgt.tavg-u-hxy-multi.mon.glb,Emission flux of methanol by vegetation type,kg m-2 s-1,longitude latitude pft time,,mon,not possible - clm x pft,MEG_methanol,
land,fuelMoistureFuelClass_tavg-u-hxy-multi,mfuelTotal,land.fuelMoistureFuelClass.tavg-u-hxy-multi.mon.glb,Fuel Moisture for Different Fuel Classes,,latitude longitude fuelclass time,FATES_FUEL_MOISTURE_FC,mon,,,
land,mrro_tavg-u-hxy-lnd,mrro,land.mrro.tavg-u-hxy-lnd.mon.glb,Total Runoff,kg m-2 s-1,longitude latitude time,QRUNOFF,mon,,,
land,mrso_tavg-u-hxy-lnd,mrso,land.mrso.tavg-u-hxy-lnd.mon.glb,Soil moisture ,kg m-2,longitude latitude time,TOTSOILLIQ,mon,,,
land,mrso_tavg-u-hxy-multi,mrsoLayer,land.mrso.tavg-sl-hxy-lnd.mon.glb,Soil moisture per layer,kg m-2,longitude latitude sdepth time,H2OSOI * DZSOI,mon,,,
land,nbp_tavg-u-hxy-lnd,nbp,land.nbp.tavg-u-hxy-lnd.mon.glb,Net Biospheric Production,kg m-2 s-1,longitude latitude time,-FCO2*(12.01/44.01),mon,,,
land,,nbppft,land.nbpVgt.tavg-u-hxy-multi.mon.glb,Vegtype level NBP,kg m-2 s-1,longitude latitude pft time,,mon,,,
land,nMineral_tavg-u-hxy-lnd,nInorgSoil,land.nMineral.tavg-u-hxy-lnd.yr.glb,Nitrogen Inorganic (NH4+ and NO3-) in Soil (including below-ground litter),kg m-2 ,longitude latitude time,SMINN,yr,,,
land,nLitter_tavg-u-hxy-lnd,nLitter,land.nLitter.tavg-u-hxy-lnd.yr.glb,Nitrogen in above-ground Litter Pool,kg m-2 ,longitude latitude time,,yr,,,
land,,nLitterpft,land.nLitterVgt.tavg-hxy-multi.yr.glb,Vegtype level Nitrogen in Litter,kg m-2 ,longitude latitude pft time,,yr,,,
